,content
649,i'm working project need performance. time we've continued evolve design work parallel threaded distributed . latest step move part onto new machine 16 cores. i'm finding need rethink things scale many cores shared memory model. example standard memory allocator good enough. resources would people recommend far i've found sutter's column dr. dobbs good start. got art multiprocessor programming o'reilly book intel threading building blocks scaling multithreaded applications multicored machines
650,"writing code consciously program defensively ensure high program quality avoid possibility code exploited maliciously e.g. buffer overflow exploits code injection what's ""minimum"" level quality always apply code defensive programming"
651,long time world warcraft player passionate developer decided would like combine two set developing addins. improve gameplay experience great opportunity learn something new. anyone advice go starting ide one use one go testing ready made libraries available would get better learning experience ignoring libraries building scratch oneshot hogger would love hear advice experiences views. developing addins world warcraft - getting started
652,code starting thread .net cf 2.0: threadstart tstart = new threadstart mymethod thread = new thread tstart t.start call inside loop items completely order. introduce wait t.start work thread completes code continues begininvoke endinvoke better option manually creating threads wait thread complete continuing
653,come across following type code many times wonder good practice performance perspective not: try ... code catch exception ex ... something throw new customexception ex basically coder encompassing exception custom exception throwing again. differ performance following two: try ... code catch exception ex .. something throw ex try ... code catch exception ex .. something throw putting aside functional coding best practice arguments performance difference 3 approaches performance considerations throwing exceptions
654,"illustrate assume two tables follows: vehicleid name 1 chuck 2 larry locationid vehicleid city 1 1 new york 2 1 seattle 3 1 vancouver 4 2 los angeles 5 2 houston want write query return following results: vehicleid name locations 1 chuck new york seattle vancouver 2 larry los angeles houston know done using server side cursors ie: declare vehicleid int declare vehiclename varchar 100 declare locationcity varchar 100 declare locations varchar 4000 declare results table vehicleid int name varchar 100 locations varchar 4000 declare vehiclescursor cursor select vehicleid name vehicles open vehiclescursor fetch next vehiclescursor vehicleid vehiclename fetch_status = 0 begin set locations = '' declare locationscursor cursor select city locations vehicleid = vehicleid open locationscursor fetch next locationscursor locationcity fetch_status = 0 begin set locations = locations + locationcity fetch next locationscursor locationcity end close locationscursor deallocate locationscursor insert results vehicleid name locations select vehicleid name locations end close vehiclescursor deallocate vehiclescursor select results however see requires great deal code. would like generic function would allow something like this: select vehicleid name join select city locations vehicleid = vehicles.vehicleid ' ' locations vehicles possible something similar create sql server function ""join"" multiple rows subquery single delimited field"
655,"good way create form vb6 easily embedded inside forms occasions recently i've wanted design code form object could plug several ""parent"" forms. goal create centralized piece code managing several ui components particular way able use ui layout logic one place. i'm certainly willing use code rather design view load child form. best i've come far pull interesting logic child form class module parent form lay ui picture control perhaps pass picture object class module. class knows operate picture assumes expected pieces laid appropriately. approach several downsides i'd like something bit elegant. best share embeddable form vb6"
656,"way implement singleton object c++ is: lazily constructed thread safe manner two threads might simultaneously first user singleton - still constructed . rely static variables constructed beforehand singleton object safe use construction static variables . know c++ well enough case integral constant static variables initialized code executed ie even static constructors executed - values may already ""initialized"" program image - perhaps exploited implement singleton mutex - turn used guard creation real singleton.. excellent seems couple good answers shame can't mark 2 3 answer . appears two broad solutions: use static initialisation opposed dynamic initialisation pod static variable implementing mutex using builtin atomic instructions. type solution hinting question believe knew already. use library function like pthread_once boost::call_once. certainly know - grateful answers posted. thread safe lazy construction singleton c++"
657,want get started game development using microsoft's xna. part shader development idea get started. know nvidia's fx composer great tool develop shaders find much useful updated content actually get started. tutorials would recommend beginning shader development
658,ultramon great program dual monitors stretching screen across monitors wondering way something visual studio like one tab code open one monitor second tab code open second monitor one instance visual studio running suggestions getting bang buck dual monitors visual studio visual studio dual multiple monitors: get optimized use monitors
659,looking feedback : http: code.google.com p google-perftools wiki googleperformancetools anybody used google performance tools
660,"attempting compile c# project get following error: 'c:\documents settings\dan\desktop\rowdy pixel\apps\cleanermenu\cleanermenu\obj\debug\csc97.tmp' valid win32 resource file. gone many google searches determined usually caused 256x256 image inside icon used project. i've gone icons removed 256x256 versions error persists. ideas get rid mike: showed mysteriously one night. i've searched csproj file there's mention csc97.tmp also checked solution file luck either . case helps i've posted contents csproj file pastebin. derek: problem. here's compiler output. ------ build started: project: infralution.licensing configuration: debug cpu ------ infralution.licensing -> c:\documents settings\dan\desktop\rowdy pixel\apps\cleanermenu\infralution.licensing\bin\debug\infralution.licensing.dll ------ build started: project: cleanermenu configuration: debug cpu ------ c:\windows\microsoft.net\framework\v2.0.50727\csc.exe noconfig nowarn:1701 1702 errorreport:prompt warn:4 define:debug trace main:cleanermenu.program reference:""c:\documents settings\dan\desktop\rowdy pixel\apps\cleanermenu\infralution.licensing\bin\debug\infralution.licensing.dll"" reference:..\notificationbar.dll reference:..\pstaskdialog.dll reference:c:\windows\microsoft.net\framework\v2.0.50727\system.data.dll reference:c:\windows\microsoft.net\framework\v2.0.50727\system.dll reference:c:\windows\microsoft.net\framework\v2.0.50727\system.drawing.dll reference:c:\windows\microsoft.net\framework\v2.0.50727\system.windows.forms.dll reference:c:\windows\microsoft.net\framework\v2.0.50727\system.xml.dll reference:obj\debug\interop.iwshruntimelibrary.dll debug+ debug:full optimize- out:obj\debug\cleanermenu.exe resource:obj\debug\cleanermenu.form1.resources resource:obj\debug\cleanermenu.frmabout.resources resource:obj\debug\cleanermenu.modalprogresswindow.resources resource:obj\debug\cleanermenu.properties.resources.resources resource:obj\debug\cleanermenu.shortcutpropertiesviewer.resources resource:obj\debug\cleanermenu.localizedstrings.resources resource:obj\debug\cleanermenu.updatedlicenseform.resources target:winexe win32icon:cleanermenu.ico errorhandler.cs form1.cs form1.designer.cs frmabout.cs frmabout.designer.cs licensing.cs modalprogresswindow.cs modalprogresswindow.designer.cs program.cs properties\assemblyinfo.cs properties\resources.designer.cs properties\settings.designer.cs scanner.cs shortcutpropertiesviewer.cs shortcutpropertiesviewer.designer.cs localizedstrings.designer.cs updatedlicenseform.cs updatedlicenseform.designer.cs error cs1583: 'c:\documents settings\dan\desktop\rowdy pixel\apps\cleanermenu\cleanermenu\obj\debug\csc97.tmp' valid win32 resource file compile complete -- 1 errors 0 warnings ------ skipped build: project: cleanermenu installer configuration: debug ------ project selected build solution configuration ========== build: 1 succeeded up-to-date 1 failed 1 skipped ========== also uploaded icon using. view here. mike: thanks! removing everything 32x32 image everything worked great. go back add sizes one-by-one see one causing grief. : derek: since first got error i'd done complete reinstall windows along sdk. main reason reinstall slim hope would fix problem. figure previously worked sizes... invalid resource file"
661,quad core machine would like write code parse text file takes advantage four cores. text file basically contains one record per line. multithreading forte i'm wondering anyone could give patterns might able use parse file optimal manner. first thoughts read lines sort queue spin threads pull lines queue process means queue would exist memory fairly large files i'm keen idea. next thoughts sort controller read line assign thread parse i'm sure controller end bottleneck threads processing lines faster read assign them. know there's probably another simpler solution moment i'm seeing it. multicore text file parsing
662,using php javascript building dad's website. wants incorporate login system website design system using php. problem show buttons person logged ­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­ example - home products us contact. want buttons dealer distributor maybe information user logged in. home products us contacts dealer dealer login distributor distributor login forth. would javascript good way would php maybe even using javascript show hide buttons php check see buttons show. ­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­ login script hidden buttons
663,data structure represents directed graph want render dynamically html page. graphs usually nodes maybe ten upper end guess performance going big deal. ideally i'd like able hook jquery users tweak layout manually dragging nodes around. note: i'm looking charting library. graph visualization library javascript
664,i'm writing little bash scripts ubuntu linux. want able run gui without needing terminal window enter input view output. far input required password sudo - gksudo handles fine. found easy way show message box yet. kind 'gkmessage' command available i'd prefer something present default ubuntu install mind installing new package necessary. show gui message box bash script linux
665,"example note case : string = ""hello world!"" string = ""hello world!"" guidelines use differences difference string string c#"
666,i've worked number different embedded systems. used typedefs #defines types uint32. good technique drives home size type programmer makes conscious chances overflow etc. systems know compiler processor change life project. influence decision create enforce project-specific types edit think managed lose gist question maybe really two. embedded programming may need types specific size interfaces also cope restricted resources ram. can't avoided choose use basic types compiler. everything else types less importance. need careful cause overflow may need watch register stack usage. may lead uint16 uchar. using types uchar add compiler 'fluff' however. registers typically larger compilers may add code force result type. i++ become add reg 1 reg 0xff unecessary. think question :- given constraints embedded software best policy set project many people working - level experience. use type abstraction embedded systems
667,create rounded corners using css creating rounded corners using css
668,words singleton implementation thread safe: public class singleton private static singleton instance private singleton static singleton instance = new singleton public static singleton instance get return instance c# static constructor thread safe
669,currently really good method debugging javascript internet explorer safari. firefox use firebug's logging feature command line functions. however help move browsers. debugging javascript internet explorer safari
670,switched locally subversion 1.4 1.5 server still runs 1.4. since every merge takes ages perform. took couple seconds area 5-10 minutes . difference command line client tortoise talk windows versions . anybody else strange phenomenon slow merge subversion 1.5 1.4 server
671,good way perform animation using .net would prefer use flash possible looking suggestions ways work implement different types animation new site producing. new site magician want provide animated buttons cards turning etc. also embed video. possible without using flash real solution would like keep cross-platform standard possible. animation .net
672,tools would recommend setting ci build deployment multiple websites built dotnetnuke using svn source control currently looking configuring cruise control work nant nunit ncover trac test case. combinations would worth investigating full control development environment using form ci certain would also like convince production services team reliably deploy system test uat even production environments using tools. setting continuous integration svn
673,i'm trying alpha blend sprites backgrounds devkitpro including libnds libarm etc . anyone know alpha blending sprites nintendo ds homebrew
674,currently relatively small 4 5 tables 5000 rows mysql database would like convert sqlite database. i'd potentially i'd grateful anyone could recommend useful tools least easily-replicated method. complete admin access database machines involved. what's best way converting mysql database sqlite one
675,"i'd like something like following: fooclass.prototype.method = function :string return ""something"" var foo:fooclass = new fooclass foo.method say i'd like extend generated class single method via inheritance via prototype. class generated wsdl dynamic class want touch generated code overwritten anyway. long story short i'd like moral equivalent c# 3:s extension methods as3. edit: accepted aib's answer fits asking best -- although upon reflection really solve problem that's fault asking wrong question. : also upmods good suggestions. possible add behavior non-dynamic actionscript 3 class without inheriting class"
676,possible change width scroll bar form. app touch screen bit narrow. change width scrollbar
677,anyone recommend software .net library check bounced emails reason bounce get bounced emails pop3 account read then. need keep user database clean invalid email addresses want automate mark user invalid email . automatically check bounced emails via pop3
678,software must able run sql server 2000 2005. simplify development we're running sql server 2005 databases compatibility level 80. however database performance seems slower sql 2005 sql 2000 cases confirmed using benchmarks yet . would upgrading compatibility level 90 improve performance sql 2005 servers running sql server 2005 database compatibility level 80 negative impact performance
679,want something like this: enums combined flagged values. public static class enumextension public static bool isset<t> input matchto t:enum constraint want exist c#3 return input & matchto != 0 could do: myenum tester = myenum.flaga myenum.flagb tester.isset myenum.flaga act flag unfortunately c#'s generic constraints enum restriction class struct. c# see enums structs even though value types can't add extension types like this. anyone know workaround anyone know good workaround lack enum generic constraint
680,what's efficient algorithm find rectangle largest area fit empty space let's say screen looks like '#' represents filled area : .................... ..............###### ##.................. .................### .................### #####............... #####............... #####............... probable solution is: .................... ..............###### ##...++++++++++++... .....++++++++++++### .....++++++++++++### #####++++++++++++... #####++++++++++++... #####++++++++++++... normally i'd enjoy figuring solution. although time i'd like avoid wasting time fumbling around since practical use project i'm working on. well-known solution shog9 wrote: input array implied responses list occlusions form arbitrarily sized positioned rectangles might case windowing system dealing window positions yes structure keeps track set windows placed screen. also grid keeps track areas edge whether empty filled pixel position left top edge. think modified form would take advantage property. know puzzle: find largest rectangle maximal rectangle problem
681,"junior programmer simply write enough tests. nag every two hours ""have written tests "" we've tried: showing design becomes simpler showing prevents defects making ego thing saying bad programmers weekend 2 team members come work code null reference test work requires top quality stable code usually everyone 'gets it' there's need push tests through. know make write tests know useful tests written it. know motivations make junior programmers write tests"
682,setup public-key authentication ssh setup public-key authentication
683,"i'm part team develops pretty big swing java applet. code legacy tons singleton references. we've bunched single ""application context"" singleton. need create way separate shared context shared across applets currently showing non-shared context specific applet currently showing . however id locations call singleton want propagate id locations. what's easiest way identify applet context we're running i've tried messing classloaders thread groups thread ids... far could find nothing enable id origin call . identify java applet context running without passing id"
684,"i'm generating xml documents comes address part fragments look like this: <address>15 sample st example bay country< address> xslt converting xhtml funky recursive template convert newline characters within strings <br > tags. working fine considered ""bad practice"" rely linebreaks within xml documents recommended instead <address><line>15 sample st< line> <line>example bay< line> <line>some country< line>< address> seems like it'd really awkward wrap every place text may multiple lines tags like that.. ""bad practice"" sensitive linebreaks xml documents"
685,"expression ""turing complete"" mean give simple explanation without going many theoretical details turing complete"
686,lately change code older systems code unit tests. making changes want write tests class created lot dependencies anti-patterns made testing quite hard. obviously wanted refactor code make easier test write tests change it. way would spend lot time writing hard-to-write tests would mostly removed refactoring completed test change untested untestable code
687,requirements: support .net compact framework 2.0 windows mobile 6.0 devices. need unzip contents directory storage card. creation zip files required. must able use corporate commercial software. open source gpl viral license. i've seen xceed zip cf library. options zip library options compact framework
688,anyone know good method editing pdfs php preferably open-source zero-license cost methods. : thinking along lines opening pdf file replacing text pdf writing modified version pdf programmatically created pdf files past using fpdf found little unwieldy times. pdf editing php
689,"i'm looking help setting new default property value inherited control visual studio: class newcombo : system.windows.forms.combobox public newcombo dropdownitems = 50 problem base class property dropdownitems 'default' attribute set different value 50 . result drag control onto form designer file gets explicit mycontrol.dropdownitems = 50 line. first matter. later change inherited class dropdownitems = 45 constructor affect controls form since designer files still value 50 hard-coded them. whole point value set one place deal customer changing mind. obviously creating custom property subclass could give designer default attribute whatever wanted. i'm wanting change default values properties base. way apply visual studio attributes base class member workaround get result want visual studio - new ""default"" property values inherited controls"
690,"seen questions relating gnu autoconf automake builds i'm hoping least familiar it. goes: project i'll call myproject includes another project vendor . vendor project standalone project maintained someone else. including project like fairly straightforward case tiny snag: project generates config.h file defines standard macros package version etc. means build vendor built get lots errors like this: ... warning: ""version"" redefined ... warning: location previous definition ... warning: ""package"" redefined ... warning: location previous definition warnings time least would like get rid them. relevant information i've able turn google search thread automake mailing list whole lot help. anybody else better ideas avoid redefining version package etc"
691,company i'm currently working using selenium uniting-testing user interface. use unit-test web ui effective find use unit-test web ui
692,anyone point good resource throw clue show databinding controls combobox listbox etc. wpf i'm bit loss winforms niceities taken away i'm bright start with... wpf databinding
693,"i'm currently working internal sales application company work i've got form allows user change delivery address. think would look much nicer textarea i'm using main address details would take area text automatically resize text changed. here's screenshot currently. ideas chris good point reasons want resize. want area takes area information contained it. see screen shot fixed textarea takes fair wack vertical space. reduce font need address large readable. reduce size text area problems people address line takes 3 4 one takes 5 lines. needing user use scrollbar major no-no. guess bit specific. i'm vertical resizing width matter much. problem happens iso number large ""1"" gets pushed address window width small see screenshot . gimick text field user edit take unnecessary space show text it. though someone comes another way approach problem i'm open too. i've modified code little acting little odd. changed activate keyup take consideration character typed. resizeit = function var str = $ 'iso_address' .value var cols = $ 'iso_address' .cols var linecount = 0 $a str.split ""\n"" .each function l linecount += 1 + math.floor l.length cols take account long lines $ 'iso_address' .rows = linecount autosize textarea using prototype"
694,i've made many different seperate parts gui system nintendo ds like buttons textboxes select boxes need way containing classes one gui class draw everything screen check buttons check pressed. question best way organize classes buttons textboxes one gui class here's one way thought seem right: edit: i'm using c++. class gui public: void update_all void draw_all const int add_button button button returns button id void remove_button int button_id private: button buttons 10 int num_buttons code problems wanted give idea want. make gui
695,past used microsoft web application stress tool pylot stress test web applications. i'd written simple home page login script site walkthrough ecommerce site adding items cart checkout . hitting homepage hard handful developers would almost always locate major problem. scalability problems would surface second stage even - launch. url tools used microsoft homer aka microsoft web application stress tool pylot. reports generated tools never made much sense would spend many hours trying figure kind concurrent load site would able support. always worth stupidest bugs bottlenecks would always come instance web server misconfigurations . done tools used success approach part interesting coming kind meaningful formula calculating number concurrent users app support numbers reported stress test application. performing stress test web application
696,"know almost nothing linq. i'm this: var apps = app process.getprocesses app.processname.contains ""myappname"" && app.mainwindowhandle != intptr.zero select app gets running processes match criteria. know get first one. examples find net seem imply var matchedapp = app process.getprocesses app.processname.contains ""myappname"" && app.mainwindowhandle != intptr.zero select app .first strikes somewhat ugly also throws exception matching processes. better way update i'm actually trying find first matching item call setforegroundwindow i've come solution also strikes ugly awful better above. ideas var unused = app process.getprocesses app.processname.contains ""myappname"" && app.mainwindowhandle != intptr.zero select setforegroundwindow app.mainwindowhandle side-effects linq-query technically bad guess linq objects - select first object"
697,simple way drop group interrelated tables sql server ideally i'd like avoid worry order they're dropped since know entire group gone end process. dropping group tables sql server
698,"need help. working project c++. however think somehow managed corrupt heap. based fact added std::string class assigning value another std::string: std::string hello = ""hello world.\n"" examplestring = ""hello world.\n"" would work fine. examplestring = hello crashes system stack dump. basically need stop go code memory management stuff find i've screwed up. codebase still small 1000 lines easily do-able. still i'm head kind stuff thought i'd throw there. i'm linux system poked around valgrind knowing completely i'm report std::string's destructor invalid free. admit getting term 'heap corruption' google search general purpose articles sort stuff would appreciated well. rm -rf projectdir c# :d edit: made clear i'm asking ways advice diagnosing sort memory problems. know std::string stuff right something i've done bug there's problem select . i'm sure could check code i've written smart folks would see problem time want add kind code analysis 'toolbox' were. memory management heap corruption c++"
699,best way use sql server 2008 development database ensure database compatible sql server 2005 sql server 2008 compatibility sql server 2005
700,recently tried understanding use java.math.mathcontext failed understand properly. used rounding java.math.bigdecimal. yes round decimal digits even mantissa part. api docs came know follows standard specified ansi x3.274-1996 ansi x3.274-1996 1-2000 specifications get read online. please let know idea this. use java.math.mathcontext
701,"recently issues firefox 3 ubuntu hardy heron. click link hang while. know bug firefox 3 page running much client side javascript would like try debug bit. question ""is way kind process explorer task manager sort thing firefox 3 "" would like able see tabs using percent processor via javascript page anything page causing cpu memory usage . anybody know plugin something similar anyone else done kind inspection another way know firebug can't imagine would use finger tab using lot resources. suggestions insights kind task manager javascript firefox 3"
702,designing rest api service established best practices dealing security authentication authorization identity management building soap api ws-security guide much literature exists topic. found less information securing rest endpoints. understand rest intentionally specifications analogous ws- hoping best practices recommended patterns emerged. discussion links relevant documents would much appreciated. matters would using wcf pox json serialized messages rest api's services built using v3.5 .net framework. best practices securing rest api web service
703,ssw rules better sql server database example full database maintenance plan: ssw. example run reorganize index rebuild index update statistics. point thought reorganize index fast less effective version rebuild index index rebuild would also update statistics automatically clustered index least . reorganise index vs rebuild index sql server maintenance plan
704,"trying get head around xaml thought would try writing code. trying add grid 6 6 column definitions add text block one grid cells. seem able reference cell want. method grid add text block too. grid.children.add object cell definition. xaml: <page x:class=""wpf_tester.page1"" xmlns=""http: schemas.microsoft.com winfx 2006 xaml presentation"" xmlns:x=""http: schemas.microsoft.com winfx 2006 xaml"" title=""page1"" loaded=""page_loaded""> < page> c#: private void page_loaded object sender routedeventargs e create structure grid g = new grid g.showgridlines = true g.visibility = visibility.visible add columns int = 0 < 6 ++i columndefinition cd = new columndefinition cd.name = ""column"" + i.tostring g.columndefinitions.add cd add rows int = 0 < 6 ++i rowdefinition rd = new rowdefinition rd.name = ""row"" + i.tostring g.rowdefinitions.add rd textblock tb = new textblock tb.text = ""hello world"" g.children.add tb update spooky bit: using vs2008 pro xp wpfbrowser project template 3.5 verified get methods autocomplete. generate wpf controls code"
705,want create client side mail creator web page. know problems using mailto action html form standard default mail appication set client . web page important care much. mail created mailto action syntax: subject: undefined subject body: param1=value1 param2=value2 . . . paramn=valuen use javascript format mail like subject:xxxxx body: value1 value2 value3...valuen use javascript create client side email
706,first know build java application. always puzzled put classes. proponents organizing packages strictly domain oriented fashion others separate tier. always problems naming placing put domain specific constants best name class put classes stuff infrastructural domain specific instance filestoragestrategy class stores files either database alternatively database put exceptions standards refer structure java application put classes
707,anyone point decent introductions ws-security i'm looking tutorials something provide fairly gentle introduction subject though mind assumes basic knowledge web services soap. stuff i've seen far technical need lot complex detailed background knowledge understand properly. implement web service php one clients .net resources covering would much appreciated. find good ws-security introductions tutorials
708,c shift operators << >> arithmetic logical shift operators <> arithmetic logical c
709,"official convention naming private fields vb.net example property called 'foo' normally call private field '_foo'. seems frowned upon offical guidelines: ""do use prefix field names. example use g_ s_ distinguish static versus non-static fields."" c# could call private field 'foo' property 'foo' refer private field 'this.foo' constructor. vb.net case insensitive can't - suggestions naming convention vb.net private fields"
710,"array perl: my_array = ""one"" ""two"" ""three"" ""two"" ""three"" remove duplicates array remove duplicate items array perl"
711,searching sample code converting point wgs84 coordinate system map position google maps pixel position also supporting zoom levels. codes well commented also language. also point open source java project : resources found: openlayer implementation. josm project excellent java map projection library jh labs. pure java proj.4 port. projection wgs84 meters. quite straightforward convert meters tile pixels. java code wgs84 google map position back
712,whenever design database always wonder best way naming item database. quite often ask following questions: table names plural column names singular prefix tables columns use case naming items recommended guidelines naming items database database table column naming conventions
713,wrapping existing c++ code bsd project custom wrapper want integrate code changes possible. code uses fprintf print stderr order log report errors. want redirect alternative place within process. unix done socketpair thread: one end socket send stderr via call dup2 end monitored thread process output. work windows though socket file handle. documents found web show redirect output child process want. redirect stderr within process getting callback sort output written say i've tried setstdhandle cannot find way make work ... windows c++: redirect stderr calls fprintf
714,"given absolute relative path unix-like system would like determine full path target resolving intermediate symlinks. bonus points also resolving ~username notation time. target directory might possible chdir directory call getcwd really want shell script rather writing c helper. unfortunately shells tendency try hide existence symlinks user bash os x : $ ls -ld foo bar drwxr-xr-x 2 greg greg 68 aug 11 22:36 bar lrwxr-xr-x 1 greg greg 3 aug 11 22:36 foo -> bar $ cd foo $ pwd users greg tmp foo $ want function resolve executed tmp directory example resolve ""foo"" == "" users greg tmp bar"". resolve symbolic links shell script"
715,custom-built flash-based video player maintain needs support preroll ads ideally progressive video playback streaming depending server switch. i've working flvplayback component finding little depth. good tutorials resources understanding difference netstream flvplayback one part googled without success. preroll ads we'll probably use dart in-stream part reason feel i'm losing grip best way structure thing. help best practices links appreciated - ta! edit - update: wrote player hand got less working everything needed migrate jw player across web properties end six months later. reliable well-supported integrated dart system well designers found easy skin. best practices building flash video player
716,best way verify test text string serialized byte array certain encoding case want verify xml structure serialized byte array utf-8 encoding variable character length. example current ugly procedure inject character known require two bytes structure serializing replacing two-byte character ascii character comparing serialized array lengths. yield two serialized arrays array containing two-byte characters length +1. plus solution elegant java. can't think elegant way seek byte sequence byte array. could used seek known byte sequence representing desired character representation utf-8. test serialization encoding
717,recently brushing fundamentals found merge sorting linked list pretty good challenge. good implementation show here. merge sort linked list
718,even valid question .net windows app using mstdc throwing exception: system.transactions.transactionmanagercommunicationexception: network access distributed transaction manager msdtc disabled. please enable dtc network access security configuration msdtc using component services administrative tool ---> system.runtime.interopservices.comexception 0x8004d024 : transaction manager disabled support remote network transactions. exception hresult: 0x8004d024 system.transactions.oletx.idtcproxyshimfactory.receivetransaction uint32 propgationtokensize byte propgationtoken intptr managedidentifier guid& transactionidentifier oletxtransactionisolationlevel& isolationlevel itransactionshim& transactionshim .... followed kbalertz guide enable msdtc pc app installed error still occurs. wondering database issue resolve enable msdtc sql server
719,element may contain big amounts data want ruin page layout set max-height: 100px overflow:auto hoping scrollbars appear content fit. works fine firefox ie7 ie8 behaves overflow:hidden present instead overflow:auto. tried overflow:scroll still help ie8 simply truncates content without showing scrollbars. changing max-height declaration height makes overflow work ok combination max-height overflow:auto breaks things. also logged official bug final release version ie8 workaround resorted using height instead max-height leaves plenty empty space case much data. ie8 overflow:auto max-height
720,writing application java desktop using eclipse swt library gui rendering. think swt helps java get biggest hurdle acceptance desktop: namely providing java application consistent responsive interface looks like belonging app desktop. however feel packaging application still issue. os x natively provides easy mechanism wrapping java apps native application bundles producing app windows linux require user run ugly batch file click .jar still hassle. possibly that's issue linux user likely little tech-savvy windows i'd like regular .exe run. anyone experience .exe generation tools java i've tried jsmooth various issues it. better solution crack visual studio roll edit: perhaps mention unable spend lot money commercial solution. packaging java apps windows linux desktop
721,good way displaying unicode text opengl windows example deal different languages. common approach like #define fontlistrange 128 gluint list list = glgenlists fontlistrange wglusefontbitmapsw hdc 0 fontlistrange list can't create enough lists unicode characters. display unicode text opengl
722,asp.net page asp:button visible. can't turn visible javascript rendered page. resolve change visibility asp.net label javascript
723,read several reviews amazon books seem outdated. currently using myeclipse 6.5 using eclipse 3.3. i'm interested hearing people experience learning rcp reference material used get started. would like recommendation book eclipse's rich client platform rcp
724,would like use language familiar - java c# ruby php c c++ although examples language pseudocode welcome. best way splitting large xml document smaller sections still valid xml purposes need split roughly thirds fourths sake providing examples splitting n components would good. split xml document thirds even better n pieces
725,according php safe mode docs safe_mode_gid: default safe mode uid compare check opening files. want relax gid compare turn safe_mode_gid. whether use uid false gid true checking upon file access. php script running web server difference uid user identifier check gid group identifier check php safe mode gid
726,learn oop start implement various design patterns keep coming back cases people hating active record. often people say scale well citing twitter prime example -- nobody actually explains scale well achieve pros ar without cons via similar different pattern hopefully turn holy war design patterns -- want know specifically what's wrong active record. scale well problems active record hate
727,want open file reading c++ way. need able for: text files would involve sort read line function. binary files would provide way read raw data char buffer. open file c++
728,i've come across clause: t.id = id compare with: t.id != id with: t.id <> id i'd always write latter clearly someone else thinks differently. one going perform better know using <> != going bust hopes using index might surely first approach suffer problem testing inequality t-sql
729,perl oop features somewhat rarely used. create use perl objects methods properties create objects perl
730,i've always found checkin commit mails useful keeping track work people codebase repository. set svn email distribution list commit i'm running clients windows apache subversion server linux. answers various platforms likely useful people though. make subversion svn send email checkins
731,i'm importing data csv file numbers larger 1000 get turned 1 100 etc. what's good way remove quotes comma put int field edit: data actually already mysql table need able using sql. sorry mixup. remove quotes commas string mysql
732,using ie cannot put absolutely positioned div select input element. that's select element considered activex object top every html element page. already saw people hiding selects opening popup div leads pretty bad user experience controls disappearing. fogbugz actually pretty smart solution v6 turning every select text boxes popup displayed. solved bug tricked user eye behavior perfect. another solution fogbugz 6 use select element recoded everywhere. last solution currently use messing ie rendering engine force render absolutely positioned <div> activex element ensuring live select element. achieved placing invisible <iframe> inside <div> styling with: #mydiv iframe position: absolute z-index: -1 filter: mask border: 0 margin: 0 padding: 0 top: 0 left: 0 width: 9999px height: 9999px overflow: hidden anyone even better solution one edit: purpose question much informative real question. find <iframe> trick good solution still looking improvement like removing ugly useless tag degrades accessibility. solve select overlap bug ie6
733,"even though always strive complete validation days often wonder waste time. code runs looks browsers use browsershots.org verify need take overly anal level hold code create for: b clients p.s. jeff company stack overflow validate : edit: good insights think since i've valid-obsessed long program knowing cause problems i'm better position people create site first ""go back fix validation problems"" think may post another question stack overflow ""do validate go finish go back validate "" seems question going important w3c xhtml css validation finalizing work"
734,restoring sql server database notice 3 different recovery states choose from: restore recovery restore recovery restore standby i've always left default value mean preferably layman's terms sql server recovery states
735,"turn creating user interface programmer designer. ideas ""ui"" usually terrible want make work user interface design"
736,working project right involves receiving message another application formatting contents message sending printer. technology choice c# windows service. output could called report suppose reporting engine necessary. simple templating engine like stringtemplate even xslt outputting html would fine. problem i'm finding free way print kind output service. since seems work i'm working prototype using microsoft's rdlc populating local report rendering image memory stream print. issues are: multi-page printing big headache. still use printdocument print memory stream unsupported windows service though may work - gotten far prototype yet data coming across changes change dataset class data deserialized into. bad bad bad. anyone anything remotely like advice already posted question printing html without user input wasting 3 days come conclusion cannot done least freely available tool. help appreciated. edit: version 2.0 .net framework. printing .net service
737,i'm using .netcf windows mobile graphics class drawstring method render single character screen. problem can't seem get centred properly. matter set coordinate location string render always comes lower larger text size greater offset. example text size 12 offset 4 32 offset 10. want character vertically take rectangle drawn centred horizontally. here's basic code. referencing user control drawn in. graphics g = this.creategraphics float padx = float this.size.width 0.05f float pady = float this.size.height 0.05f float width = float this.size.width - 2 padx float height = float this.size.height - 2 pady float emsize = height g.drawstring letter new font fontfamily.genericsansserif emsize fontstyle.regular new solidbrush color.black padx pady yes know label control could use instead set centring actually need manually graphics class. center text output graphics.drawstring
738,use rsync synchronize files windows clients server agnostic way. methods available send progress rsync parent process display gui progress bar imagine two three choices exist. 1 watch stdout 2 watch rsync.exe log file similar unix tail 3 watch rsync console output memory. one best preferred best way wrap rsync progress gui
