,AllTags,tags_list,corrected_tags_list,.net,asp.net,c,c#,c++,css,database,html,java,javascript,language-agnostic,linux,mysql,performance,php,python,ruby,sql,sql-server,svn,unit-testing,visual-studio,windows,winforms,xml
624,unit-testing language-agnostic tdd mocking,"['unit-testing', 'language-agnostic', 'tdd', 'mocking']","['unit-testing', 'language-agnostic']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
625,javascript,['javascript'],['javascript'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626,c lisp scheme continuations,"['c', 'lisp', 'scheme', 'continuations']",['c'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
627,asp.net logging permissions,"['asp.net', 'logging', 'permissions']",['asp.net'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
628,algorithm puzzle,"['algorithm', 'puzzle']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
629,c# .net generics covariance type-safety,"['c#', '.net', 'generics', 'covariance', 'type-safety']","['c#', '.net']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
630,iphone objective-c cocoa memory,"['iphone', 'objective-c', 'cocoa', 'memory']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
631,php migration,"['php', 'migration']",['php'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
632,windows registry settings configuration-files ini,"['windows', 'registry', 'settings', 'configuration-files', 'ini']",['windows'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
633,java plot configuration,"['java', 'plot', 'configuration']",['java'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
634,language-agnostic rule-engine,"['language-agnostic', 'rule-engine']",['language-agnostic'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
635,c# visual-studio msbuild,"['c#', 'visual-studio', 'msbuild']","['c#', 'visual-studio']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
636,php syntax,"['php', 'syntax']",['php'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
637,php register-globals,"['php', 'register-globals']",['php'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
638,java file loading,"['java', 'file', 'loading']",['java'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
639,browser compatibility,"['browser', 'compatibility']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640,java testing junit testng,"['java', 'testing', 'junit', 'testng']",['java'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
641,javascript browser client-side,"['javascript', 'browser', 'client-side']",['javascript'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
642,.net wcf web-services visual-studio asmx,"['.net', 'wcf', 'web-services', 'visual-studio', 'asmx']","['.net', 'visual-studio']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
643,c# asp.net web-services,"['c#', 'asp.net', 'web-services']","['c#', 'asp.net']",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
644,oop,['oop'],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
645,user-interface icons,"['user-interface', 'icons']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
646,java sql-server,"['java', 'sql-server']","['java', 'sql-server']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
647,c# vb.net performance stringbuilder string.format,"['c#', 'vb.net', 'performance', 'stringbuilder', 'string.format']","['c#', 'performance']",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
648,java eclipse search,"['java', 'eclipse', 'search']",['java'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
649,performance multithreading scalability malloc,"['performance', 'multithreading', 'scalability', 'malloc']",['performance'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
650,security defensive-programming,"['security', 'defensive-programming']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
651,plugins lua add-on world-of-warcraft,"['plugins', 'lua', 'add-on', 'world-of-warcraft']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
652,c# multithreading compact-framework,"['c#', 'multithreading', 'compact-framework']",['c#'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
653,.net exception optimization performance,"['.net', 'exception', 'optimization', 'performance']","['.net', 'performance']",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
654,sql sql-server string-concatenation,"['sql', 'sql-server', 'string-concatenation']","['sql', 'sql-server']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
655,forms vb6 code-reuse,"['forms', 'vb6', 'code-reuse']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
656,c++ multithreading singleton construction lazy-initialization,"['c++', 'multithreading', 'singleton', 'construction', 'lazy-initialization']",['c++'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
657,shader,['shader'],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
658,visual-studio monitor multiple-monitors,"['visual-studio', 'monitor', 'multiple-monitors']",['visual-studio'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
659,performance multithreading malloc google-perftools,"['performance', 'multithreading', 'malloc', 'google-perftools']",['performance'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
660,c# visual-studio resources,"['c#', 'visual-studio', 'resources']","['c#', 'visual-studio']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
661,c# multithreading,"['c#', 'multithreading']",['c#'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
662,javascript php,"['javascript', 'php']","['javascript', 'php']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
663,javascript jquery data-structures graph-layout,"['javascript', 'jquery', 'data-structures', 'graph-layout']",['javascript'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
664,linux bash scripting ubuntu gtk,"['linux', 'bash', 'scripting', 'ubuntu', 'gtk']",['linux'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
665,c# .net string types alias,"['c#', '.net', 'string', 'types', 'alias']","['c#', '.net']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
666,c embedded,"['c', 'embedded']",['c'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
667,cross-browser rounded-corners css,"['cross-browser', 'rounded-corners', 'css']",['css'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
668,c# multithreading singleton,"['c#', 'multithreading', 'singleton']",['c#'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
669,javascript internet-explorer safari,"['javascript', 'internet-explorer', 'safari']",['javascript'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670,svn,['svn'],['svn'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
671,.net animation,"['.net', 'animation']",['.net'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
672,svn continuous-integration,"['svn', 'continuous-integration']",['svn'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
673,c++ c nintendo-ds,"['c++', 'c', 'nintendo-ds']","['c++', 'c']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
674,sql mysql database sqlite,"['sql', 'mysql', 'database', 'sqlite']","['sql', 'mysql', 'database']",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
675,apache-flex actionscript-3 extension-methods,"['apache-flex', 'actionscript-3', 'extension-methods']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
676,vb.net scrollbar,"['vb.net', 'scrollbar']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
677,.net email pop3 bouncedemail,"['.net', 'email', 'pop3', 'bouncedemail']",['.net'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
678,sql-server database,"['sql-server', 'database']","['sql-server', 'database']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
679,c# .net enums flags,"['c#', '.net', 'enums', 'flags']","['c#', '.net']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680,algorithm language-agnostic math geometry,"['algorithm', 'language-agnostic', 'math', 'geometry']",['language-agnostic'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
681,unit-testing testing,"['unit-testing', 'testing']",['unit-testing'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
682,linux ssh private-key public-key,"['linux', 'ssh', 'private-key', 'public-key']",['linux'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
683,java swing applet,"['java', 'swing', 'applet']",['java'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
684,xml xslt xhtml whitespace line-breaks,"['xml', 'xslt', 'xhtml', 'whitespace', 'line-breaks']",['xml'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
685,theory turing-machines turing-complete,"['theory', 'turing-machines', 'turing-complete']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
686,unit-testing refactoring legacy,"['unit-testing', 'refactoring', 'legacy']",['unit-testing'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
687,windows-mobile compact-framework zip components,"['windows-mobile', 'compact-framework', 'zip', 'components']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688,php pdf,"['php', 'pdf']",['php'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
689,c# .net vb.net visual-studio,"['c#', '.net', 'vb.net', 'visual-studio']","['c#', '.net', 'visual-studio']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
690,c linux unix autoconf automake,"['c', 'linux', 'unix', 'autoconf', 'automake']","['c', 'linux']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
691,unit-testing user-interface selenium,"['unit-testing', 'user-interface', 'selenium']",['unit-testing'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
692,wpf data-binding,"['wpf', 'data-binding']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
693,javascript html css textarea prototypejs,"['javascript', 'html', 'css', 'textarea', 'prototypejs']","['javascript', 'html', 'css']",0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
694,c++ user-interface,"['c++', 'user-interface']",['c++'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
695,web-applications stress-testing performance webapplicationstresstool pylot,"['web-applications', 'stress-testing', 'performance', 'webapplicationstresstool', 'pylot']",['performance'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
696,c# linq linq-to-objects,"['c#', 'linq', 'linq-to-objects']",['c#'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
697,sql sql-server database,"['sql', 'sql-server', 'database']","['sql', 'sql-server', 'database']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
698,c++ memory stack heap,"['c++', 'memory', 'stack', 'heap']",['c++'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
699,sql-server sql-server-2008 sql-server-2005,"['sql-server', 'sql-server-2008', 'sql-server-2005']",['sql-server'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
700,java math bigdecimal mathcontext,"['java', 'math', 'bigdecimal', 'mathcontext']",['java'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
701,javascript firefox memory cpu,"['javascript', 'firefox', 'memory', 'cpu']",['javascript'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
702,wcf security rest authorization rest-security,"['wcf', 'security', 'rest', 'authorization', 'rest-security']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
703,sql-server rebuild maintenance-plan reorganize,"['sql-server', 'rebuild', 'maintenance-plan', 'reorganize']",['sql-server'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
704,c# .net wpf xaml,"['c#', '.net', 'wpf', 'xaml']","['c#', '.net']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
705,javascript email,"['javascript', 'email']",['javascript'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
706,java architecture,"['java', 'architecture']",['java'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
707,web-services ws-security,"['web-services', 'ws-security']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
708,c binary bit-manipulation bit-shift,"['c', 'binary', 'bit-manipulation', 'bit-shift']",['c'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
709,vb.net convention,"['vb.net', 'convention']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
710,perl arrays unique duplicates,"['perl', 'arrays', 'unique', 'duplicates']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
711,java google-maps mapping wgs84,"['java', 'google-maps', 'mapping', 'wgs84']",['java'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
712,database database-design language-agnostic naming-conventions,"['database', 'database-design', 'language-agnostic', 'naming-conventions']","['database', 'language-agnostic']",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
713,c++ windows redirect,"['c++', 'windows', 'redirect']","['c++', 'windows']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
714,bash shell scripting symlink,"['bash', 'shell', 'scripting', 'symlink']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
715,flash video,"['flash', 'video']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
716,java xml string serialization encoding,"['java', 'xml', 'string', 'serialization', 'encoding']","['java', 'xml']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
717,algorithm sorting linked-list mergesort,"['algorithm', 'sorting', 'linked-list', 'mergesort']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
718,sql-server msdtc,"['sql-server', 'msdtc']",['sql-server'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
719,internet-explorer-8 overflow css,"['internet-explorer-8', 'overflow', 'css']",['css'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720,java windows swt executable software-distribution,"['java', 'windows', 'swt', 'executable', 'software-distribution']","['java', 'windows']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
721,windows opengl unicode,"['windows', 'opengl', 'unicode']",['windows'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
722,asp.net javascript,"['asp.net', 'javascript']","['asp.net', 'javascript']",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
723,java eclipse rcp myeclipse,"['java', 'eclipse', 'rcp', 'myeclipse']",['java'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
724,xml,['xml'],['xml'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
725,php unix,"['php', 'unix']",['php'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
726,ruby-on-rails design-patterns oop activerecord,"['ruby-on-rails', 'design-patterns', 'oop', 'activerecord']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
727,c++ file io,"['c++', 'file', 'io']",['c++'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
728,tsql indexing inequality,"['tsql', 'indexing', 'inequality']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
729,perl oop syntax,"['perl', 'oop', 'syntax']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
730,svn hook post-commit post-commit-hook,"['svn', 'hook', 'post-commit', 'post-commit-hook']",['svn'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
731,mysql regex string,"['mysql', 'regex', 'string']",['mysql'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
732,html css internet-explorer-6 html-select,"['html', 'css', 'internet-explorer-6', 'html-select']","['html', 'css']",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
733,css validation xhtml cross-browser w3c,"['css', 'validation', 'xhtml', 'cross-browser', 'w3c']",['css'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
734,sql-server backup,"['sql-server', 'backup']",['sql-server'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
735,user-interface,['user-interface'],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
736,c# .net windows-services printing,"['c#', '.net', 'windows-services', 'printing']","['c#', '.net']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
737,c# graphics compact-framework,"['c#', 'graphics', 'compact-framework']",['c#'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
738,windows user-interface rsync,"['windows', 'user-interface', 'rsync']",['windows'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
739,unix ssh,"['unix', 'ssh']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740,c# .net-3.5 extension-methods,"['c#', '.net-3.5', 'extension-methods']",['c#'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
741,linq .net-3.5,"['linq', '.net-3.5']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
742,database design-patterns,"['database', 'design-patterns']",['database'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
743,.net linq performance .net-3.5 benchmarking,"['.net', 'linq', 'performance', '.net-3.5', 'benchmarking']","['.net', 'performance']",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
744,mysql replication fallback binary-log,"['mysql', 'replication', 'fallback', 'binary-log']",['mysql'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
745,visual-studio continuous-integration cruisecontrol.net visualsvn-server,"['visual-studio', 'continuous-integration', 'cruisecontrol.net', 'visualsvn-server']",['visual-studio'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
746,.net crc32,"['.net', 'crc32']",['.net'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
747,plugins extensibility,"['plugins', 'extensibility']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
748,.net linq-to-sql,"['.net', 'linq-to-sql']",['.net'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
749,sql oracle session oracle9i,"['sql', 'oracle', 'session', 'oracle9i']",['sql'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
750,asp.net-mvc html-helper,"['asp.net-mvc', 'html-helper']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
751,python mysql pylons,"['python', 'mysql', 'pylons']","['python', 'mysql']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
752,mysql replication,"['mysql', 'replication']",['mysql'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
753,sql csv insert firebird,"['sql', 'csv', 'insert', 'firebird']",['sql'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
754,wpf user-interface instrumentation,"['wpf', 'user-interface', 'instrumentation']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
755,java testing enterprise,"['java', 'testing', 'enterprise']",['java'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
756,c# .net sql-server connection-pooling,"['c#', '.net', 'sql-server', 'connection-pooling']","['c#', '.net', 'sql-server']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
757,c file io filesize,"['c', 'file', 'io', 'filesize']",['c'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
758,php perl orm,"['php', 'perl', 'orm']",['php'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
759,icons favicon,"['icons', 'favicon']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760,java security jboss,"['java', 'security', 'jboss']",['java'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
761,c# .net error-handling,"['c#', '.net', 'error-handling']","['c#', '.net']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762,javascript debugging internet-explorer firebug javascript-debugger,"['javascript', 'debugging', 'internet-explorer', 'firebug', 'javascript-debugger']",['javascript'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
763,apache mod-rewrite https,"['apache', 'mod-rewrite', 'https']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
764,mysql backup,"['mysql', 'backup']",['mysql'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
765,apache ssl redirect https,"['apache', 'ssl', 'redirect', 'https']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766,javascript visual-studio visual-studio-2005 debugging,"['javascript', 'visual-studio', 'visual-studio-2005', 'debugging']","['javascript', 'visual-studio']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
767,sql-server sql-server-2005 reporting-services reportingservices-2005,"['sql-server', 'sql-server-2005', 'reporting-services', 'reportingservices-2005']",['sql-server'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
768,windows icons,"['windows', 'icons']",['windows'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
769,sql-server-2005 reporting-services,"['sql-server-2005', 'reporting-services']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
770,.htaccess mod-rewrite,"['.htaccess', 'mod-rewrite']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
771,c++ windows debugging visual-c++ visual-c++-6,"['c++', 'windows', 'debugging', 'visual-c++', 'visual-c++-6']","['c++', 'windows']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
772,c# enums flags,"['c#', 'enums', 'flags']",['c#'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
773,f# functional-programming currying,"['f#', 'functional-programming', 'currying']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
774,c++ security memory ram-scraping,"['c++', 'security', 'memory', 'ram-scraping']",['c++'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
775,wpf design-patterns command,"['wpf', 'design-patterns', 'command']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
776,security language-agnostic captcha,"['security', 'language-agnostic', 'captcha']",['language-agnostic'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
777,asp.net-mvc forms asp.net-mvc-routing,"['asp.net-mvc', 'forms', 'asp.net-mvc-routing']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
778,email unix procmail,"['email', 'unix', 'procmail']",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
