,AllTags,tags_list,corrected_tags_list
580,c# controls tree genealogy,"['c#', 'controls', 'tree', 'genealogy']",['c#']
581,sql-server logging statistics,"['sql-server', 'logging', 'statistics']",['sql-server']
582,python urllib,"['python', 'urllib']",['python']
583,javascript dom browser client-side,"['javascript', 'dom', 'browser', 'client-side']",['javascript']
584,visual-studio folding,"['visual-studio', 'folding']",['visual-studio']
585,yahoo-api yahoo-maps,"['yahoo-api', 'yahoo-maps']",[]
586,svn,['svn'],['svn']
587,database web-applications uuid,"['database', 'web-applications', 'uuid']",['database']
588,python data-structures,"['python', 'data-structures']",['python']
589,apache-flex actionscript-3 air,"['apache-flex', 'actionscript-3', 'air']",[]
590,.net winforms,"['.net', 'winforms']","['.net', 'winforms']"
591,log4net,['log4net'],[]
592,svn git version-control cvs,"['svn', 'git', 'version-control', 'cvs']",['svn']
593,asp.net vb.net,"['asp.net', 'vb.net']",['asp.net']
594,authentication web-applications account,"['authentication', 'web-applications', 'account']",[]
595,build-automation versions archive,"['build-automation', 'versions', 'archive']",[]
596,database,['database'],['database']
597,.net sql-server connection-string,"['.net', 'sql-server', 'connection-string']","['.net', 'sql-server']"
598,language-agnostic if-statement,"['language-agnostic', 'if-statement']",['language-agnostic']
599,svn subclipse,"['svn', 'subclipse']",['svn']
600,linux bash unix process,"['linux', 'bash', 'unix', 'process']",['linux']
601,windows visual-studio tfs,"['windows', 'visual-studio', 'tfs']","['windows', 'visual-studio']"
602,svn version-control scripting svn-hooks,"['svn', 'version-control', 'scripting', 'svn-hooks']",['svn']
603,.net html regex,"['.net', 'html', 'regex']","['.net', 'html']"
604,c# .net winforms multithreading events,"['c#', '.net', 'winforms', 'multithreading', 'events']","['c#', '.net', 'winforms']"
605,.net scsf,"['.net', 'scsf']",['.net']
606,css firefox ubuntu,"['css', 'firefox', 'ubuntu']",['css']
607,language-agnostic parsing csv,"['language-agnostic', 'parsing', 'csv']",['language-agnostic']
608,java eclipse eclipse-3.4 ganymede,"['java', 'eclipse', 'eclipse-3.4', 'ganymede']",['java']
609,.net visual-studio tfs,"['.net', 'visual-studio', 'tfs']","['.net', 'visual-studio']"
610,c# .net int uint,"['c#', '.net', 'int', 'uint']","['c#', '.net']"
611,c# .net unsigned-integer cls-compliant,"['c#', '.net', 'unsigned-integer', 'cls-compliant']","['c#', '.net']"
612,css ruby-on-rails haml,"['css', 'ruby-on-rails', 'haml']",['css']
613,sql mysql foreign-keys,"['sql', 'mysql', 'foreign-keys']","['sql', 'mysql']"
614,sql sybase-ase,"['sql', 'sybase-ase']",['sql']
615,mysql svn,"['mysql', 'svn']","['mysql', 'svn']"
616,javascript,['javascript'],['javascript']
617,outlook gmail icalendar recurrence,"['outlook', 'gmail', 'icalendar', 'recurrence']",[]
618,java linux timezone,"['java', 'linux', 'timezone']","['java', 'linux']"
619,c# .net,"['c#', '.net']","['c#', '.net']"
620,c# loops enumeration,"['c#', 'loops', 'enumeration']",['c#']
621,.net redistributable,"['.net', 'redistributable']",['.net']
622,javascript html radio-button,"['javascript', 'html', 'radio-button']","['javascript', 'html']"
623,unix shell date math scripting,"['unix', 'shell', 'date', 'math', 'scripting']",[]
624,unit-testing language-agnostic tdd mocking,"['unit-testing', 'language-agnostic', 'tdd', 'mocking']","['unit-testing', 'language-agnostic']"
625,javascript,['javascript'],['javascript']
626,c lisp scheme continuations,"['c', 'lisp', 'scheme', 'continuations']",['c']
627,asp.net logging permissions,"['asp.net', 'logging', 'permissions']",['asp.net']
628,algorithm puzzle,"['algorithm', 'puzzle']",[]
629,c# .net generics covariance type-safety,"['c#', '.net', 'generics', 'covariance', 'type-safety']","['c#', '.net']"
630,iphone objective-c cocoa memory,"['iphone', 'objective-c', 'cocoa', 'memory']",[]
631,php migration,"['php', 'migration']",['php']
632,windows registry settings configuration-files ini,"['windows', 'registry', 'settings', 'configuration-files', 'ini']",['windows']
633,java plot configuration,"['java', 'plot', 'configuration']",['java']
634,language-agnostic rule-engine,"['language-agnostic', 'rule-engine']",['language-agnostic']
635,c# visual-studio msbuild,"['c#', 'visual-studio', 'msbuild']","['c#', 'visual-studio']"
636,php syntax,"['php', 'syntax']",['php']
637,php register-globals,"['php', 'register-globals']",['php']
638,java file loading,"['java', 'file', 'loading']",['java']
639,browser compatibility,"['browser', 'compatibility']",[]
640,java testing junit testng,"['java', 'testing', 'junit', 'testng']",['java']
641,javascript browser client-side,"['javascript', 'browser', 'client-side']",['javascript']
642,.net wcf web-services visual-studio asmx,"['.net', 'wcf', 'web-services', 'visual-studio', 'asmx']","['.net', 'visual-studio']"
643,c# asp.net web-services,"['c#', 'asp.net', 'web-services']","['c#', 'asp.net']"
644,oop,['oop'],[]
645,user-interface icons,"['user-interface', 'icons']",[]
646,java sql-server,"['java', 'sql-server']","['java', 'sql-server']"
647,c# vb.net performance stringbuilder string.format,"['c#', 'vb.net', 'performance', 'stringbuilder', 'string.format']","['c#', 'performance']"
648,java eclipse search,"['java', 'eclipse', 'search']",['java']
649,performance multithreading scalability malloc,"['performance', 'multithreading', 'scalability', 'malloc']",['performance']
650,security defensive-programming,"['security', 'defensive-programming']",[]
651,plugins lua add-on world-of-warcraft,"['plugins', 'lua', 'add-on', 'world-of-warcraft']",[]
652,c# multithreading compact-framework,"['c#', 'multithreading', 'compact-framework']",['c#']
653,.net exception optimization performance,"['.net', 'exception', 'optimization', 'performance']","['.net', 'performance']"
654,sql sql-server string-concatenation,"['sql', 'sql-server', 'string-concatenation']","['sql', 'sql-server']"
655,forms vb6 code-reuse,"['forms', 'vb6', 'code-reuse']",[]
656,c++ multithreading singleton construction lazy-initialization,"['c++', 'multithreading', 'singleton', 'construction', 'lazy-initialization']",['c++']
657,shader,['shader'],[]
658,visual-studio monitor multiple-monitors,"['visual-studio', 'monitor', 'multiple-monitors']",['visual-studio']
659,performance multithreading malloc google-perftools,"['performance', 'multithreading', 'malloc', 'google-perftools']",['performance']
660,c# visual-studio resources,"['c#', 'visual-studio', 'resources']","['c#', 'visual-studio']"
661,c# multithreading,"['c#', 'multithreading']",['c#']
662,javascript php,"['javascript', 'php']","['javascript', 'php']"
663,javascript jquery data-structures graph-layout,"['javascript', 'jquery', 'data-structures', 'graph-layout']",['javascript']
664,linux bash scripting ubuntu gtk,"['linux', 'bash', 'scripting', 'ubuntu', 'gtk']",['linux']
665,c# .net string types alias,"['c#', '.net', 'string', 'types', 'alias']","['c#', '.net']"
666,c embedded,"['c', 'embedded']",['c']
667,cross-browser rounded-corners css,"['cross-browser', 'rounded-corners', 'css']",['css']
668,c# multithreading singleton,"['c#', 'multithreading', 'singleton']",['c#']
669,javascript internet-explorer safari,"['javascript', 'internet-explorer', 'safari']",['javascript']
670,svn,['svn'],['svn']
671,.net animation,"['.net', 'animation']",['.net']
672,svn continuous-integration,"['svn', 'continuous-integration']",['svn']
673,c++ c nintendo-ds,"['c++', 'c', 'nintendo-ds']","['c++', 'c']"
674,sql mysql database sqlite,"['sql', 'mysql', 'database', 'sqlite']","['sql', 'mysql', 'database']"
675,apache-flex actionscript-3 extension-methods,"['apache-flex', 'actionscript-3', 'extension-methods']",[]
676,vb.net scrollbar,"['vb.net', 'scrollbar']",[]
677,.net email pop3 bouncedemail,"['.net', 'email', 'pop3', 'bouncedemail']",['.net']
678,sql-server database,"['sql-server', 'database']","['sql-server', 'database']"
679,c# .net enums flags,"['c#', '.net', 'enums', 'flags']","['c#', '.net']"
680,algorithm language-agnostic math geometry,"['algorithm', 'language-agnostic', 'math', 'geometry']",['language-agnostic']
681,unit-testing testing,"['unit-testing', 'testing']",['unit-testing']
682,linux ssh private-key public-key,"['linux', 'ssh', 'private-key', 'public-key']",['linux']
683,java swing applet,"['java', 'swing', 'applet']",['java']
684,xml xslt xhtml whitespace line-breaks,"['xml', 'xslt', 'xhtml', 'whitespace', 'line-breaks']",['xml']
685,theory turing-machines turing-complete,"['theory', 'turing-machines', 'turing-complete']",[]
686,unit-testing refactoring legacy,"['unit-testing', 'refactoring', 'legacy']",['unit-testing']
687,windows-mobile compact-framework zip components,"['windows-mobile', 'compact-framework', 'zip', 'components']",[]
688,php pdf,"['php', 'pdf']",['php']
689,c# .net vb.net visual-studio,"['c#', '.net', 'vb.net', 'visual-studio']","['c#', '.net', 'visual-studio']"
690,c linux unix autoconf automake,"['c', 'linux', 'unix', 'autoconf', 'automake']","['c', 'linux']"
691,unit-testing user-interface selenium,"['unit-testing', 'user-interface', 'selenium']",['unit-testing']
692,wpf data-binding,"['wpf', 'data-binding']",[]
693,javascript html css textarea prototypejs,"['javascript', 'html', 'css', 'textarea', 'prototypejs']","['javascript', 'html', 'css']"
694,c++ user-interface,"['c++', 'user-interface']",['c++']
695,web-applications stress-testing performance webapplicationstresstool pylot,"['web-applications', 'stress-testing', 'performance', 'webapplicationstresstool', 'pylot']",['performance']
696,c# linq linq-to-objects,"['c#', 'linq', 'linq-to-objects']",['c#']
697,sql sql-server database,"['sql', 'sql-server', 'database']","['sql', 'sql-server', 'database']"
698,c++ memory stack heap,"['c++', 'memory', 'stack', 'heap']",['c++']
699,sql-server sql-server-2008 sql-server-2005,"['sql-server', 'sql-server-2008', 'sql-server-2005']",['sql-server']
700,java math bigdecimal mathcontext,"['java', 'math', 'bigdecimal', 'mathcontext']",['java']
701,javascript firefox memory cpu,"['javascript', 'firefox', 'memory', 'cpu']",['javascript']
702,wcf security rest authorization rest-security,"['wcf', 'security', 'rest', 'authorization', 'rest-security']",[]
703,sql-server rebuild maintenance-plan reorganize,"['sql-server', 'rebuild', 'maintenance-plan', 'reorganize']",['sql-server']
704,c# .net wpf xaml,"['c#', '.net', 'wpf', 'xaml']","['c#', '.net']"
705,javascript email,"['javascript', 'email']",['javascript']
706,java architecture,"['java', 'architecture']",['java']
707,web-services ws-security,"['web-services', 'ws-security']",[]
708,c binary bit-manipulation bit-shift,"['c', 'binary', 'bit-manipulation', 'bit-shift']",['c']
709,vb.net convention,"['vb.net', 'convention']",[]
710,perl arrays unique duplicates,"['perl', 'arrays', 'unique', 'duplicates']",[]
711,java google-maps mapping wgs84,"['java', 'google-maps', 'mapping', 'wgs84']",['java']
712,database database-design language-agnostic naming-conventions,"['database', 'database-design', 'language-agnostic', 'naming-conventions']","['database', 'language-agnostic']"
713,c++ windows redirect,"['c++', 'windows', 'redirect']","['c++', 'windows']"
714,bash shell scripting symlink,"['bash', 'shell', 'scripting', 'symlink']",[]
715,flash video,"['flash', 'video']",[]
716,java xml string serialization encoding,"['java', 'xml', 'string', 'serialization', 'encoding']","['java', 'xml']"
717,algorithm sorting linked-list mergesort,"['algorithm', 'sorting', 'linked-list', 'mergesort']",[]
718,sql-server msdtc,"['sql-server', 'msdtc']",['sql-server']
719,internet-explorer-8 overflow css,"['internet-explorer-8', 'overflow', 'css']",['css']
720,java windows swt executable software-distribution,"['java', 'windows', 'swt', 'executable', 'software-distribution']","['java', 'windows']"
721,windows opengl unicode,"['windows', 'opengl', 'unicode']",['windows']
722,asp.net javascript,"['asp.net', 'javascript']","['asp.net', 'javascript']"
723,java eclipse rcp myeclipse,"['java', 'eclipse', 'rcp', 'myeclipse']",['java']
724,xml,['xml'],['xml']
725,php unix,"['php', 'unix']",['php']
726,ruby-on-rails design-patterns oop activerecord,"['ruby-on-rails', 'design-patterns', 'oop', 'activerecord']",[]
727,c++ file io,"['c++', 'file', 'io']",['c++']
728,tsql indexing inequality,"['tsql', 'indexing', 'inequality']",[]
729,perl oop syntax,"['perl', 'oop', 'syntax']",[]
730,svn hook post-commit post-commit-hook,"['svn', 'hook', 'post-commit', 'post-commit-hook']",['svn']
731,mysql regex string,"['mysql', 'regex', 'string']",['mysql']
732,html css internet-explorer-6 html-select,"['html', 'css', 'internet-explorer-6', 'html-select']","['html', 'css']"
733,css validation xhtml cross-browser w3c,"['css', 'validation', 'xhtml', 'cross-browser', 'w3c']",['css']
734,sql-server backup,"['sql-server', 'backup']",['sql-server']
735,user-interface,['user-interface'],[]
736,c# .net windows-services printing,"['c#', '.net', 'windows-services', 'printing']","['c#', '.net']"
737,c# graphics compact-framework,"['c#', 'graphics', 'compact-framework']",['c#']
738,windows user-interface rsync,"['windows', 'user-interface', 'rsync']",['windows']
739,unix ssh,"['unix', 'ssh']",[]
740,c# .net-3.5 extension-methods,"['c#', '.net-3.5', 'extension-methods']",['c#']
741,linq .net-3.5,"['linq', '.net-3.5']",[]
742,database design-patterns,"['database', 'design-patterns']",['database']
743,.net linq performance .net-3.5 benchmarking,"['.net', 'linq', 'performance', '.net-3.5', 'benchmarking']","['.net', 'performance']"
744,mysql replication fallback binary-log,"['mysql', 'replication', 'fallback', 'binary-log']",['mysql']
745,visual-studio continuous-integration cruisecontrol.net visualsvn-server,"['visual-studio', 'continuous-integration', 'cruisecontrol.net', 'visualsvn-server']",['visual-studio']
746,.net crc32,"['.net', 'crc32']",['.net']
747,plugins extensibility,"['plugins', 'extensibility']",[]
748,.net linq-to-sql,"['.net', 'linq-to-sql']",['.net']
749,sql oracle session oracle9i,"['sql', 'oracle', 'session', 'oracle9i']",['sql']
750,asp.net-mvc html-helper,"['asp.net-mvc', 'html-helper']",[]
751,python mysql pylons,"['python', 'mysql', 'pylons']","['python', 'mysql']"
752,mysql replication,"['mysql', 'replication']",['mysql']
753,sql csv insert firebird,"['sql', 'csv', 'insert', 'firebird']",['sql']
754,wpf user-interface instrumentation,"['wpf', 'user-interface', 'instrumentation']",[]
755,java testing enterprise,"['java', 'testing', 'enterprise']",['java']
756,c# .net sql-server connection-pooling,"['c#', '.net', 'sql-server', 'connection-pooling']","['c#', '.net', 'sql-server']"
757,c file io filesize,"['c', 'file', 'io', 'filesize']",['c']
758,php perl orm,"['php', 'perl', 'orm']",['php']
759,icons favicon,"['icons', 'favicon']",[]
760,java security jboss,"['java', 'security', 'jboss']",['java']
761,c# .net error-handling,"['c#', '.net', 'error-handling']","['c#', '.net']"
762,javascript debugging internet-explorer firebug javascript-debugger,"['javascript', 'debugging', 'internet-explorer', 'firebug', 'javascript-debugger']",['javascript']
763,apache mod-rewrite https,"['apache', 'mod-rewrite', 'https']",[]
764,mysql backup,"['mysql', 'backup']",['mysql']
765,apache ssl redirect https,"['apache', 'ssl', 'redirect', 'https']",[]
766,javascript visual-studio visual-studio-2005 debugging,"['javascript', 'visual-studio', 'visual-studio-2005', 'debugging']","['javascript', 'visual-studio']"
767,sql-server sql-server-2005 reporting-services reportingservices-2005,"['sql-server', 'sql-server-2005', 'reporting-services', 'reportingservices-2005']",['sql-server']
768,windows icons,"['windows', 'icons']",['windows']
769,sql-server-2005 reporting-services,"['sql-server-2005', 'reporting-services']",[]
770,.htaccess mod-rewrite,"['.htaccess', 'mod-rewrite']",[]
771,c++ windows debugging visual-c++ visual-c++-6,"['c++', 'windows', 'debugging', 'visual-c++', 'visual-c++-6']","['c++', 'windows']"
772,c# enums flags,"['c#', 'enums', 'flags']",['c#']
773,f# functional-programming currying,"['f#', 'functional-programming', 'currying']",[]
774,c++ security memory ram-scraping,"['c++', 'security', 'memory', 'ram-scraping']",['c++']
775,wpf design-patterns command,"['wpf', 'design-patterns', 'command']",[]
776,security language-agnostic captcha,"['security', 'language-agnostic', 'captcha']",['language-agnostic']
777,asp.net-mvc forms asp.net-mvc-routing,"['asp.net-mvc', 'forms', 'asp.net-mvc-routing']",[]
778,email unix procmail,"['email', 'unix', 'procmail']",[]
779,svn tortoisesvn,"['svn', 'tortoisesvn']",['svn']
780,monitor alert,"['monitor', 'alert']",[]
781,exception lucene,"['exception', 'lucene']",[]
782,c# multithreading locking,"['c#', 'multithreading', 'locking']",['c#']
783,visual-studio refactoring methods,"['visual-studio', 'refactoring', 'methods']",['visual-studio']
784,c# winforms controls,"['c#', 'winforms', 'controls']","['c#', 'winforms']"
785,java spring jakarta-ee aop,"['java', 'spring', 'jakarta-ee', 'aop']",['java']
786,.net windows,"['.net', 'windows']","['.net', 'windows']"
787,java xml java-me mobile,"['java', 'xml', 'java-me', 'mobile']","['java', 'xml']"
788,c# .net vb.net winforms controls,"['c#', '.net', 'vb.net', 'winforms', 'controls']","['c#', '.net', 'winforms']"
789,c# generics primitive type-safety,"['c#', 'generics', 'primitive', 'type-safety']",['c#']
790,.net entity-framework linq-to-sql,"['.net', 'entity-framework', 'linq-to-sql']",['.net']
791,php date strtotime,"['php', 'date', 'strtotime']",['php']
792,c# user-controls windows-mobile,"['c#', 'user-controls', 'windows-mobile']",['c#']
793,python xml dom xpath python-2.x,"['python', 'xml', 'dom', 'xpath', 'python-2.x']","['python', 'xml']"
794,exception executable mixed unhandled,"['exception', 'executable', 'mixed', 'unhandled']",[]
795,database logging instrumentation,"['database', 'logging', 'instrumentation']",['database']
796,.net powershell command-line scripting,"['.net', 'powershell', 'command-line', 'scripting']",['.net']
797,php http ftp pear server-response,"['php', 'http', 'ftp', 'pear', 'server-response']",['php']
798,.net timer,"['.net', 'timer']",['.net']
799,svn version-control,"['svn', 'version-control']",['svn']
800,c++ python linux,"['c++', 'python', 'linux']","['c++', 'python', 'linux']"
801,iphone web-applications dashcode,"['iphone', 'web-applications', 'dashcode']",[]
802,c# .net midi,"['c#', '.net', 'midi']","['c#', '.net']"
803,ant build-process,"['ant', 'build-process']",[]
804,mysql stored-procedures,"['mysql', 'stored-procedures']",['mysql']
805,c# data-structures collections,"['c#', 'data-structures', 'collections']",['c#']
806,php null,"['php', 'null']",['php']
807,fogbugz,['fogbugz'],[]
808,c# database,"['c#', 'database']","['c#', 'database']"
809,php database postgresql phppgadmin,"['php', 'database', 'postgresql', 'phppgadmin']","['php', 'database']"
810,c# c++ windows 64-bit memcached,"['c#', 'c++', 'windows', '64-bit', 'memcached']","['c#', 'c++', 'windows']"
811,c# .net-1.1,"['c#', '.net-1.1']",['c#']
812,flash actionscript-3 sockets xmlsocket,"['flash', 'actionscript-3', 'sockets', 'xmlsocket']",[]
813,c# generics primitive type-safety,"['c#', 'generics', 'primitive', 'type-safety']",['c#']
814,python mp3 metadata,"['python', 'mp3', 'metadata']",['python']
815,sql-server database filesystems storage,"['sql-server', 'database', 'filesystems', 'storage']","['sql-server', 'database']"
816,c# .net .net-3.5 wia image-scanner,"['c#', '.net', '.net-3.5', 'wia', 'image-scanner']","['c#', '.net']"
817,java spring workflow,"['java', 'spring', 'workflow']",['java']
818,objective-c macos webcam isight,"['objective-c', 'macos', 'webcam', 'isight']",[]
819,c# .net sql,"['c#', '.net', 'sql']","['c#', '.net', 'sql']"
820,perl conditional-operator operator-precedence,"['perl', 'conditional-operator', 'operator-precedence']",[]
821,asp.net html encoding,"['asp.net', 'html', 'encoding']","['asp.net', 'html']"
822,iis ssl,"['iis', 'ssl']",[]
823,c# hidden-features,"['c#', 'hidden-features']",['c#']
824,java testng,"['java', 'testng']",['java']
825,ms-access active-directory,"['ms-access', 'active-directory']",[]
826,search logging grep command-line-interface,"['search', 'logging', 'grep', 'command-line-interface']",[]
827,.net video audio mp3,"['.net', 'video', 'audio', 'mp3']",['.net']
828,javascript bookmarklet bookmarks,"['javascript', 'bookmarklet', 'bookmarks']",['javascript']
829,mysql select wildcard,"['mysql', 'select', 'wildcard']",['mysql']
830,c# configuration enterprise-library,"['c#', 'configuration', 'enterprise-library']",['c#']
831,bug-tracking fogbugz ontime,"['bug-tracking', 'fogbugz', 'ontime']",[]
832,vb.net file-extension,"['vb.net', 'file-extension']",[]
833,c# .net dependencies,"['c#', '.net', 'dependencies']","['c#', '.net']"
834,windows multithreading file-io,"['windows', 'multithreading', 'file-io']",['windows']
835,.net debugging il,"['.net', 'debugging', 'il']",['.net']
836,backup offsite,"['backup', 'offsite']",[]
837,architecture,['architecture'],[]
838,apache-flex actionscript-3 firefox,"['apache-flex', 'actionscript-3', 'firefox']",[]
839,version-control perforce,"['version-control', 'perforce']",[]
840,linux macos ssh sftp,"['linux', 'macos', 'ssh', 'sftp']",['linux']
841,javascript functional-programming data-manipulation client-side,"['javascript', 'functional-programming', 'data-manipulation', 'client-side']",['javascript']
842,javascript internet-explorer events internet-explorer-7,"['javascript', 'internet-explorer', 'events', 'internet-explorer-7']",['javascript']
843,c# regex perl,"['c#', 'regex', 'perl']",['c#']
844,c# .net automatic-properties,"['c#', '.net', 'automatic-properties']","['c#', '.net']"
845,c# .net winforms visual-studio-2008 visual-studio-2005,"['c#', '.net', 'winforms', 'visual-studio-2008', 'visual-studio-2005']","['c#', '.net', 'winforms']"
846,c++ oop class syntax static,"['c++', 'oop', 'class', 'syntax', 'static']",['c++']
847,asp.net javascript,"['asp.net', 'javascript']","['asp.net', 'javascript']"
848,windows explorer windows-shell,"['windows', 'explorer', 'windows-shell']",['windows']
849,java ajax jsf icefaces,"['java', 'ajax', 'jsf', 'icefaces']",['java']
850,http iis iis-7 cookies windows-vista,"['http', 'iis', 'iis-7', 'cookies', 'windows-vista']",[]
851,c# .net deployment ilmerge,"['c#', '.net', 'deployment', 'ilmerge']","['c#', '.net']"
852,asp.net vb.net datagrid report,"['asp.net', 'vb.net', 'datagrid', 'report']",['asp.net']
853,c function pointers syntax parameters,"['c', 'function', 'pointers', 'syntax', 'parameters']",['c']
854,user-interface oop coding-style,"['user-interface', 'oop', 'coding-style']",[]
855,javascript asp.net events listener,"['javascript', 'asp.net', 'events', 'listener']","['javascript', 'asp.net']"
856,html mobile responsive-design wap wml,"['html', 'mobile', 'responsive-design', 'wap', 'wml']",['html']
857,php continuous-integration openbsd xinc,"['php', 'continuous-integration', 'openbsd', 'xinc']",['php']
858,.net web-services rest,"['.net', 'web-services', 'rest']",['.net']
859,asp.net postback,"['asp.net', 'postback']",['asp.net']
860,c# visual-studio,"['c#', 'visual-studio']","['c#', 'visual-studio']"
861,c# .net .net-3.5,"['c#', '.net', '.net-3.5']","['c#', '.net']"
862,sharepoint deployment production,"['sharepoint', 'deployment', 'production']",[]
863,c++ c cross-platform makefile,"['c++', 'c', 'cross-platform', 'makefile']","['c++', 'c']"
864,wpf,['wpf'],[]
865,visual-studio,['visual-studio'],['visual-studio']
866,sql mysql,"['sql', 'mysql']","['sql', 'mysql']"
867,cross-browser svg vector-graphics vml,"['cross-browser', 'svg', 'vector-graphics', 'vml']",[]
868,wpf xaml .net-3.5,"['wpf', 'xaml', '.net-3.5']",[]
869,lisp scheme,"['lisp', 'scheme']",[]
870,c# multithreading,"['c#', 'multithreading']",['c#']
871,c++ windows winapi,"['c++', 'windows', 'winapi']","['c++', 'windows']"
872,c# arrays duplicates,"['c#', 'arrays', 'duplicates']",['c#']
873,sql database-design design-patterns dynamic-sql table-structure,"['sql', 'database-design', 'design-patterns', 'dynamic-sql', 'table-structure']",['sql']
874,c# .net,"['c#', '.net']","['c#', '.net']"
875,open-source windows-mobile ocr,"['open-source', 'windows-mobile', 'ocr']",[]
876,language-agnostic,['language-agnostic'],['language-agnostic']
877,asp.net email,"['asp.net', 'email']",['asp.net']
878,sql-server database oracle-xe,"['sql-server', 'database', 'oracle-xe']","['sql-server', 'database']"
879,c# asp.net,"['c#', 'asp.net']","['c#', 'asp.net']"
880,javascript drag-and-drop mootools,"['javascript', 'drag-and-drop', 'mootools']",['javascript']
881,c# erp,"['c#', 'erp']",['c#']
882,.net windows linux user-interface,"['.net', 'windows', 'linux', 'user-interface']","['.net', 'windows', 'linux']"
883,content-management-system,['content-management-system'],[]
884,algorithm parsing logging printf normalizing,"['algorithm', 'parsing', 'logging', 'printf', 'normalizing']",[]
885,multithreading concurrency,"['multithreading', 'concurrency']",[]
886,eclipse groovy junit,"['eclipse', 'groovy', 'junit']",[]
887,c++ generics iteration containers,"['c++', 'generics', 'iteration', 'containers']",['c++']
888,sql sql-server sql-server-2005,"['sql', 'sql-server', 'sql-server-2005']","['sql', 'sql-server']"
889,wcf silverlight compression gzip,"['wcf', 'silverlight', 'compression', 'gzip']",[]
890,javascript animation,"['javascript', 'animation']",['javascript']
891,java data-structures linked-list,"['java', 'data-structures', 'linked-list']",['java']
892,c++ windows user-interface mfc,"['c++', 'windows', 'user-interface', 'mfc']","['c++', 'windows']"
893,html,['html'],['html']
894,windows macos command-line terminal,"['windows', 'macos', 'command-line', 'terminal']",['windows']
895,python,['python'],['python']
896,regex emacs lisp,"['regex', 'emacs', 'lisp']",[]
897,.net sql linq pagination,"['.net', 'sql', 'linq', 'pagination']","['.net', 'sql']"
898,php unit-testing phpunit,"['php', 'unit-testing', 'phpunit']","['php', 'unit-testing']"
899,string optimization language-agnostic compiler-construction,"['string', 'optimization', 'language-agnostic', 'compiler-construction']",['language-agnostic']
900,browser png transparency,"['browser', 'png', 'transparency']",[]
901,asp.net,['asp.net'],['asp.net']
902,c# .net multithreading design-decisions,"['c#', '.net', 'multithreading', 'design-decisions']","['c#', '.net']"
903,performance aptana jaxer,"['performance', 'aptana', 'jaxer']",['performance']
904,asp.net-mvc validation,"['asp.net-mvc', 'validation']",[]
905,svn,['svn'],['svn']
906,compact-framework windows-ce,"['compact-framework', 'windows-ce']",[]
907,powershell scripting command-line moss wss,"['powershell', 'scripting', 'command-line', 'moss', 'wss']",[]
908,ruby string io buffer,"['ruby', 'string', 'io', 'buffer']",['ruby']
909,c performance hex strtol,"['c', 'performance', 'hex', 'strtol']","['c', 'performance']"
910,winforms multithreading,"['winforms', 'multithreading']",['winforms']
911,javascript html css,"['javascript', 'html', 'css']","['javascript', 'html', 'css']"
912,c# .net ms-word openxml,"['c#', '.net', 'ms-word', 'openxml']","['c#', '.net']"
913,configuration iis-7 impersonation,"['configuration', 'iis-7', 'impersonation']",[]
914,c architecture command-line io,"['c', 'architecture', 'command-line', 'io']",['c']
915,c# .net winforms,"['c#', '.net', 'winforms']","['c#', '.net', 'winforms']"
916,c# data-structures set,"['c#', 'data-structures', 'set']",['c#']
917,editor touch-typing,"['editor', 'touch-typing']",[]
918,graphics interpolation bezier curve,"['graphics', 'interpolation', 'bezier', 'curve']",[]
919,javascript browser,"['javascript', 'browser']",['javascript']
920,unit-testing performance,"['unit-testing', 'performance']","['unit-testing', 'performance']"
921,oracle connection tnsnames tns,"['oracle', 'connection', 'tnsnames', 'tns']",[]
922,php windows iis portability lamp,"['php', 'windows', 'iis', 'portability', 'lamp']","['php', 'windows']"
923,.net linq entity-framework linq-to-entities,"['.net', 'linq', 'entity-framework', 'linq-to-entities']",['.net']
924,c# reflection,"['c#', 'reflection']",['c#']
925,php postgresql,"['php', 'postgresql']",['php']
926,windows git cygwin editor,"['windows', 'git', 'cygwin', 'editor']",['windows']
927,binding dynamic-binding static-binding,"['binding', 'dynamic-binding', 'static-binding']",[]
928,java xml stax,"['java', 'xml', 'stax']","['java', 'xml']"
929,sql-server optimization,"['sql-server', 'optimization']",['sql-server']
930,regex,['regex'],[]
931,mysql sql-server tsql,"['mysql', 'sql-server', 'tsql']","['mysql', 'sql-server']"
932,msbuild build-process build-automation nant,"['msbuild', 'build-process', 'build-automation', 'nant']",[]
933,powershell,['powershell'],[]
934,c# .net profiling profiler,"['c#', '.net', 'profiling', 'profiler']","['c#', '.net']"
935,c# asp.net icalendar,"['c#', 'asp.net', 'icalendar']","['c#', 'asp.net']"
936,c# asp.net asp.net-mvc outputcache,"['c#', 'asp.net', 'asp.net-mvc', 'outputcache']","['c#', 'asp.net']"
937,c macos memory ptrace,"['c', 'macos', 'memory', 'ptrace']",['c']
938,c# .net-3.5 .net-2.0 remoting rpc,"['c#', '.net-3.5', '.net-2.0', 'remoting', 'rpc']",['c#']
939,c linux,"['c', 'linux']","['c', 'linux']"
940,sql-server security passwords,"['sql-server', 'security', 'passwords']",['sql-server']
941,unit-testing integration-testing,"['unit-testing', 'integration-testing']",['unit-testing']
942,asp.net exception user-controls,"['asp.net', 'exception', 'user-controls']",['asp.net']
